message_id,text
713218089182101504,#timessquare #ny #nyc #newyork #newyorkcity #newyorknewyork #citysubwaydiaries #citylife… https://t.co/Af8pmMIMff
713218103455387648,"Times Square🌙 @ Times Square, New York City https://t.co/BzyIhm0gzn"
713218143066394624,"Paseando ! @ Times Square, New York City https://t.co/QvCaWkieOV"
713231691209433088,#crybabytour #melaniemartinez @ PlayStation Theater https://t.co/u5X9jWoEQA
713218200838602752,And then there was this.  #worththepilgrimage @ Richard Rodgers Theatre - Hamilton https://t.co/1JvLowJQGk
713218221273255940,The Maine Monument commemorates the 260 American sailors who perished in 1898 when the… https://t.co/fua30rUczp
713218229968248832,Another day at the gym  ✔leg day  ✔1 hour yoga Thank you mondeeyoga for a great… https://t.co/WHLxqZ2ldR
713218252621680641,@gangsta_toast loves creeping on me eating cereal ... #AirMaxCon #kithtreats (I would never pay… https://t.co/kQCTaIeyS8
713218504061747200,patience ⏳ #subwayseries #nyc #silhouette #nightplaces #manhattan #blackandwhitephotography… https://t.co/rA5WPC4gEq
713218591848603648,So tonight I got to ugly cry at the magic that is @laurabenanti in #SheLovesMe AND eat so many… https://t.co/59Awrhx4wp
713218599217922048,"#streetgraffiti #nycgraffiti #thingsyouseeonthebike #streetlevel @ Bushwick, Brooklyn https://t.co/0zDdJkgtEQ"
713218622508961792,#nwkannounce spring has sprung. Time to sow the universe. This art was made today by BACAZ. Have… https://t.co/fpYJIrqpRJ
713218701718384642,fun rehearsal tonight for a show with @martigcummings and co.😊next Friday 4/1 @54below 🎸🎤 @… https://t.co/stMjqxm0ls
713218715291095040,"Don't believe the negative press, Batman vs Superman was good! #BatmanvsSuperman #dc #batman #superman"
713218718197805056,Where is the life that late I led? I will sing this song in Acting the Song class. I💜NYC.
713218763341099008,"Well that was intense, holy hell! Amazing movie. Definitely worth a second viewing!… https://t.co/KlHRGy5IVW"
713218779212283904,De paseo por ahí... @ Brooklyn Bridge https://t.co/LOJlS088zi
713218854869188608,"Update: Year 21, and the boys still have not come to the yard 💁🏼 #diabetes #NYC2016 PS. And ppl… https://t.co/5FH7vSGwJp"
713218872892067840,. Thanks to skillosophy for having me.   #DISTER @ Livestream Public https://t.co/wOO9aJnFX6
713218882471768066,4/7 @ The Gramercy Theatre https://t.co/3sSAymz4Xm
713218974473789440,chillin on the set with Desiigner's #Mom #Dad and #Sister.... P.S im… https://t.co/OAgZHuyyvZ
713219002210848768,#freehookahthursdays sojurestaurantandlounge everyone free all nite… https://t.co/RdFQkM2qq5
713219172608655363,// and this goes out to one of the most worn out pair of shoes I ever seen... apparently he… https://t.co/asFGB8yKxG
713219219626676224,amazing🇯🇵🌸 #cherryblossom @ Thomas Jefferson Memorial https://t.co/sEsxDUpSA0
713219220037828608,St. Patrick's Cathedral  Aparesiste en mi vida siendo mi asistente! Y te convertiste en más que… https://t.co/l7DucldrIe
713219237393862656,"Just posted a photo @ Union Ave, Williamsburg https://t.co/eqGbJPqu72"
713219266682556416,"SunPower: Commercial Project Development Manager - New York (#NewYork, NY) https://t.co/RtDW4RC2IU #Sales #SXSWeco https://t.co/DSyKPY9jO7"
713219274307842048,Beacon is always beautiful. Thanks for inviting! @noriakikatsuno #josegonzalez #ymusic… https://t.co/zhjNCmi863
713219422677286912,"Parabéns Clube Atlético Mineiro #108Anos  #CAM #ARod #BotecoDoGalo #AquiÉGalo @ Linden, New Jersey https://t.co/z9caYM7cH2"
713219455900377088,Life can only be understood backwards; but it must be lived forwards // @halleyhiatt killed it… https://t.co/QrNVTNnF4A
713219499776942080,"Serie 33 @ New York City, Bronx https://t.co/m5ZGSNrn9j"
713219535248171008,Humilde Y Apoyo A Todo El Mundo Hasta Con El Que No Lo Hace Por Mi Sabes Por Que??? Yo Nunca… https://t.co/H1XaKoMyjQ
713219554508480512,[ Hey ∘∘ Sunshine ] #vsco #vscocam #vscogrid #nyc #brooklyn #sunshine #rooftop @ Bedford… https://t.co/nfklH17aWH
721046805333475328,#nofilter with onerebeccajones!!! @ West Side Community Garden https://t.co/9UVA9mz3QJ
713219564516089856,We made it HΦMΣΣ 💙💛 #phisigmasigma @ Phi Sigma Sigma - Epsilon Theta (Montclair State University) https://t.co/lxkIAYcTai
713219595646054400,scootebike by #Rayronics .... The newest mode of transportation.… https://t.co/X28NpKPGPb
713219653812637696,Hace unos cuantos años lo conoci! Sigue siendo mi favorito 🍷👏🏻 beautyandessexnyc #fashionblogger… https://t.co/6SIdWAKx2H
713219680811356160,Goodnight. Keep clicking on that record.. There a bigger meaning to that..… https://t.co/iTXqwgLbyz
713219725577203712,"Want to work in #Brooklyn, NY? View our latest opening: https://t.co/cLY99sQNxh #Job #HomeRepair #HVAC #Carpentry https://t.co/8EMoLDGQID"
713219746972315648,"Spring in NYC @ New York, New York https://t.co/WvPWbwrLcJ"
713219826924265472,#hyrulewarriors for #nintendo #3ds. Aww yiss a day early @ 167th Grand Concourse https://t.co/cES0rF7pe1
713219837200306177,Central Park experience @ Central Park https://t.co/b82tQGaWYS
713219841340129281,"Good night everyone #manhattan #newyork @ New York, New York https://t.co/0xxk4qVNlP"
713220028489924608,"New York New York 😎✈️ @ New York, New York https://t.co/9ClVWaPYAY"
713220032495542272,"skr skr @ Brooklyn, New York https://t.co/HBQ8wmqNMV"
713220074207911936,"Best dish of the night. Clams Grand Lisboa - Chow Mein, Oregano, Cabbage. Awesome place.… https://t.co/6ARPW4XQ0H"
713226583193075712,#crybabytour #melaniemartinez @ PlayStation Theater https://t.co/2cORbaZObP
713220157221380096,Guess which rack is mine 😑... #heismoreofagirlthanme #justcuzimsmall  I am happy you bought me a… https://t.co/SgSY0JDULz
713220215631425536,"So much fun yesterday 💝😜 #purim #nyc #mask #partytime #mycity @ Manhattan, New York https://t.co/98th7eCoL5"
713220220991709184,melanie killed it tonight and i couldn't be more proud  @melanielbbh @ PlayStation Theater https://t.co/NBESeHPBnW
713220253795258369,First day of spring in Soho. @ Washington Square https://t.co/aOSfAb9zwd
713220411425742849,Por fin!!! Momento esperado sino #shakeshack #tardesperfectas @ Shake Shack At Times Square https://t.co/ppPS4CsSgC
713220412516278277,"I'm at Spyglass Rooftop - @spyglassnyc in New York, NY https://t.co/3yFO07TarR"
713220447731638272,So great to b back at duaneparknyc celebrating ryaustinhair's birthday! Feels like home every… https://t.co/q8VZt4hIrT
713220451003052032,Caught on The Edge  #RLx #NYC #Street #Photography #FujiFilm #X70 #RLxStreet #BlackStreet… https://t.co/j0Yuo9QPCL
713224146864488448,Who's the boss?? #cakeboss #sprinkles #nyclife #nyc #cupcakes for life https://t.co/monSgSN2o9
713220481453662210,perfect hazy therapeutic vibes watching the night pass by #NewYorkStateOfMind #LayersOfNYC @… https://t.co/rnroxKCB9j
713220591264927744,#TGIF #UPINNADICLOUDSWHEREMYGONEAGAIN✈️✈️✈️✈️ #OTHUNNY 😎 @ LaGuardia Airport https://t.co/EuOy4kIkzd
713220622478872576,#balto #centralpark #nyc @whatemmagsays #springbreak @ Statue Of Balto The Sled Dog https://t.co/OHC1hQhobB
713220689742925824,"I had an absolute blast participating in tonight's @bwoinfluence ""Bridging Our Diversity… https://t.co/neX4fB35Gy"
713220816763166720,Segunda temporada do Demolidor finalizada... Demais!  #DD #deridevil #demolidor #netflix… https://t.co/IviJQhBIIp
713220897595854848,"TBT working with gorgeous Misty Copeland for Net-A-Porter, photographed by Trent McGinn, styled… https://t.co/ryEDwUD867"
713220898870927360,Found the little Donald Trump in me #spillthebeans @ Blue Ribbon Sushi Izakaya https://t.co/HbLF9DhEkp
713221003523072000,Anything with chocolate and strawberry together can't be bad ! ##decadentdessert #cake… https://t.co/Mfsq4somRz
713221075887374336,"I'm at Ritz Bar &amp; Lounge in New York, NY https://t.co/6eDOufvusw"
713221144363474945,Your landlord doesn't want you to know about these 10 tenant rights https://t.co/U5dV4Lg3mC
721047331894898688,April Showers Brings May Flowers  https://t.co/LPks2vPjuD
713221159924445184,It was so nice to meet @jenellbstewart and @dianecbailey at… https://t.co/Okc2mCzHmL
713221264081444864,A casa llena @willprincipeent #team @papanyc @ Lucky 7 Tapas Bar https://t.co/GAoDoiatrJ
713221265046130689,MY READING MATERIAL #readingmaterial @ Chrysler Building Manhattan https://t.co/uz7ygS2ZBN
713221370449174528,#aboutlastnight 1st @BrooklynNets #Nets game! #Cavs #sorrynotsorry @ Barclays Centre Brooklyn… https://t.co/2W8VWc5UVL
713221390816546816,"#setlife #selfie #panda #musicvideo @ Brooklyn, New York https://t.co/jhU2dzDXcS"
713221414644531200,I keep forgetting we have tomorrow off because of Jesus and such... Why hello #Friday!… https://t.co/wEw1mVCyup
713222084760104960,NEW YOKR PRESBYTERIAN HOSPITAL EMS AMBULANCE RESPONDING ON BROADWAY… https://t.co/NmApdFjsTe
713221538200289281,Staying in Times Square! #NYC #traveler #lifeintheclouds #lifeontheroad #timessquare #newyork @… https://t.co/25KqYgwZ4s
713225411333718016,"I'm at J. No Lounge at the Regal Beagle in Jersey City, NJ https://t.co/vt5of24dTT"
713221542990229504,#happybirthday 🎂-ESTA NOCHE-Jueves-  party-Happy hours desde las 5pm hasta 9pm -Follow me… https://t.co/TVWwMhRlbg
713221611986546689,#gorgeous #cavapoo #Puppiesforsale in #bayside #flushing #queens #newyork #ny @vanitypups… https://t.co/bQHTlJzB8u
713221613307740160,Backstage madness @ The Official Club Feathers https://t.co/PPqKWvI46I
713221625622228992,"Word up bet that @ Roselle, New Jersey https://t.co/udKUgJhYu6"
713221633515847681,Cool Nuh Baby One-Piece available DM for orders #babyfashion #reggae #tshirtseason #welovekids… https://t.co/3OAAlR2dip
713221710653353985,💖 @ The Venetian Catering https://t.co/jWdt4VLRYL
